OrderID,Customer,Product,Quantity,UnitPrice,OrderDate,Region,Status
ORD000001,Aisha Petrov,Gizmo,2,296.83,2025-05-23,South,Returned
ORD000002,Hana Brown,Widget,10,free,2025-03-11,North,Pending
ORD000003,Kofi Lund,Cog,3,239.78,2025-12-08,East,Shipped
,Raj Novak,,13,428.8,2025-13-40,North,Cancelled
ORD000005,Aisha Brown,Widget,16,299.27,2025-09-13,South,Pending
ORD000006,Maria Cohen,Sprocket,five,453.75,2025-13-40,East,Cancelled
ORD000007,Tara Rossi,Sprocket,15,108.2,00/00/0000,,Cancelled
ORD000008,Noah Wang,Gizmo,16,198.98,2025-09-03,South,Shipped
ORD000009,Sofia Khan,Cog,16
ORD000010,@@Noah Hassan,Gizmo
ORD000011,Priya Rivera,Widget,16,,2025-02-16,South,Cancelled
ORD000012,Carlos Rossi,Sprocket,11,7.09,2025-07-24,North,Cancelled
ORD000013,Elena Rossi,Gizmo,,,2025-10-06,West,!!!
ORD000014,Maria Smith,Cog,11,344.91,2025-03-17,South,Pending
ORD000015,Mei Chen,Widget,18,233.85,2025-07-05,Central,Shipped
ORD000016,Sofia Vargas,Gizmo,12.5,277.84,yesterday,East,!!!
ORD000017,Maria Silva,Gizmo,1,26.35,2025-03-26,Central,Cancelled
ORD000018,Ahmed Mbeki,Sprocket,12,148.26,2025-03-26,South,Returned
ORD000019,@@Ahmed Singh,Gadget,18,17.47,00/00/0000,??,Shipped
,Ben Wang,Widget,five
ORD000021,Sofia Diaz,Sprocket,-3,,2025-13-40,??,Shipped
ORD000022,Nina Smith,Sprocket
ORD000023,  Maria Haddad,,five,$212.94,2025-02-25,West,Cancelled
ORD000024,Priya Smith,Gizmo,18,185.67,2025-07-07,Central,Pending
ORD000025,Noah Adams,Gizmo,2,18.89,2025-07-03,Central,Cancelled
ORD000026,Omar Hassan,Widget,6,342.5,2025-11-01,Central,Pending
ORD000027,Mei Diaz,Cog,13,156.73,2025-11-02,East,Cancelled
ORD000028,Nina Walsh,,13,325.95USD,2025-04-07,North,Returned,EXTRA,JUNK
ORD000029,  Wei Haddad,Gadget,11,67.95,yesterday,??,Pending
ORD000030,Hana Brown,Gizmo,-3,430.4,2025-01-14,South,
ORD000031,Ahmed Singh,Cog,16,32.55,2025-05-20,West,Cancelled
ORD000032,Ahmed Patel,Gadget,19,412.55,2025-04-25,South,Pending
ORD000033,Ethan Hassan,Gadget,N/A,427.69USD,2025-10-21,Central,Cancelled
ORD000034,Diego Garcia,Widget,3,424.31,2025-07-09,East,Returned
ORD000035,Nina Patel,Gadget,1,167.34,2025-05-27,North,Cancelled
ORD000036,Priya Rivera,Gadget,19,121.47,2025-08-14,East,Shipped
ORD000037,Ben Rossi,Sprocket,20,410.83,2025-08-18,Central,Shipped
ORD000038,James Ali,Sprocket,9,191.44,2025-05-14,West,Returned
ORD000039,Priya Rivera,Gizmo,7,320.32,2025-06-22,West,Returned
ORD000040,@@Nina Reyes,???,-3,318.72,00/00/0000,,Returned
ORD000041,Carlos Ono,Sprocket,13,296.5,2025-08-07,West,Cancelled
ORD000042,Hana Murphy,Sprocket,4,438.55,2025-10-27,East,Cancelled
ORD000043,Ben Chen,Cog,11,26.85,2025-12-21,Central,Pending
ORD000044,  Carlos Kim,Gadget,9,277.41,2025-07-19,??,Pending
ORD000045,SAM OKAFOR,Gizmo,13,89.88,2025-04-01,EAST,Shipped
